source	destination	distance_km	distance_mi
24	24	0	0
24	30	1116	698
24	23	1138	711
24	37	1542	964
24	38	1791	1119
24	33	3761	2351
24	12	2703	1689
24	39	3038	1899
24	22	2793	1746
24	2	3331	2082
24	13	3871	2419
24	40	3752	2345
24	16	3712	2320
24	18	3508	2193
24	15	4391	2744
24	0	11071	6919
24	19	7260	4538
24	11	7715	4822
24	7	7839	4899
24	4	8056	5035
24	17	8727	5454
24	26	7800	4875
24	5	8020	5013
24	29	8195	5122
24	35	8447	5279
24	27	8655	5409
24	10	7610	4756
24	25	7758	4849
24	3	8404	5253
24	20	8655	5409
24	32	8397	5248
24	9	8387	5242
24	6	7707	4817
24	36	12932	8083
24	31	12977	8111
24	21	11821	7388
24	1	12439	7774
24	8	11227	7017
24	34	8822	5514
30	24	1116	698
30	30	0	0
30	23	22	14
30	37	514	321
30	38	1006	629
30	33	2988	1868
30	12	2346	1466
30	39	2600	1625
30	22	2958	1849
30	2	3620	2263
30	13	4102	2564
30	40	3916	2448
30	16	3858	2411
30	18	3401	2126
30	15	4125	2578
30	0	10592	6620
30	19	8120	5075
30	11	8618	5386
30	7	8773	5483
30	4	8954	5596
30	17	9568	5980
30	26	8791	5494
30	5	8981	5613
30	29	9137	5711
30	35	9371	5857
30	27	9572	5983
30	10	8636	5398
30	25	8805	5503
30	3	9376	5860
30	20	9628	6018
30	32	9408	5880
30	9	9462	5914
30	6	8316	5198
30	36	13640	8525
30	31	13630	8519
30	21	11420	7138
30	1	11970	7481
30	8	10510	6569
30	34	9867	6167
23	24	1138	711
23	30	22	14
23	23	0	0
23	37	497	311
23	38	995	622
23	33	2978	1861
23	12	2340	1463
23	39	2592	1620
23	22	2963	1852
23	2	3626	2266
23	13	4107	2567
23	40	3920	2450
23	16	3862	2414
23	18	3400	2125
23	15	4120	2575
23	0	10600	6625
23	19	8136	5085
23	11	8634	5396
23	7	8791	5494
23	4	8970	5606
23	17	9583	5989
23	26	8809	5506
23	5	8998	5624
23	29	9154	5721
23	35	9388	5868
23	27	9589	5993
23	10	8655	5409
23	25	8825	5516
23	3	9394	5871
23	20	9646	6029
23	32	9427	5892
23	9	9482	5926
23	6	8331	5207
23	36	13650	8531
23	31	13640	8525
23	21	11410	7131
23	1	11960	7475
23	8	10500	6563
23	34	9887	6179
37	24	1542	964
37	30	514	321
37	23	497	311
37	37	0	0
37	38	574	359
37	33	2491	1557
37	12	1994	1246
37	39	2205	1378
37	22	2804	1753
37	2	3494	2184
37	13	3936	2460
37	40	3725	2328
37	16	3661	2288
37	18	3110	1944
37	15	3754	2346
37	0	10140	6338
37	19	8231	5144
37	11	8756	5473
37	7	8935	5584
37	4	9085	5678
37	17	9654	6034
37	26	9002	5626
37	5	9163	5727
37	29	9302	5814
37	35	9522	5951
37	27	9715	6072
37	10	8883	5552
37	25	9076	5673
37	3	9566	5979
37	20	9819	6137
37	32	9637	6023
37	9	9769	6106
37	6	8816	5510
37	36	14140	8838
37	31	14120	8825
37	21	11570	7231
37	1	12070	7544
37	8	10490	6556
37	34	10130	6331
38	24	1791	1119
38	30	1006	629
38	23	995	622
